"area","year","week","dengue_cases","dengue_like_illness","severe_dengue"
"NON-US RESIDENTS",2022,2,NA,NA,NA
"NEVADA",2022,2,NA,NA,NA
"MISSOURI",2022,2,NA,NA,NA
"NEW JERSEY",2022,2,NA,NA,NA
"RHODE ISLAND",2022,2,NA,NA,NA
"WISCONSIN",2022,2,NA,NA,NA
"UTAH",2022,2,NA,NA,NA
"NEW ENGLAND",2022,2,NA,NA,NA
"OKLAHOMA",2022,2,NA,NA,NA
"MARYLAND",2022,2,NA,NA,NA
"VERMONT",2022,2,NA,NA,NA
"WYOMING",2022,2,NA,NA,NA
"MONTANA",2022,2,NA,NA,NA
"GUAM",2022,2,NA,NA,NA
"NEW YORK",2022,2,NA,NA,NA
"TENNESSEE",2022,2,NA,NA,NA
"ALASKA",2022,2,NA,NA,NA
"NEW YORK CITY",2022,2,NA,NA,NA
"TEXAS",2022,2,NA,NA,NA
"NORTHERN MARIANA ISLANDS",2022,2,NA,NA,NA
"ALABAMA",2022,2,NA,NA,NA
"EAST NORTH CENTRAL",2022,2,NA,NA,NA
"IOWA",2022,2,NA,NA,NA
"MINNESOTA",2022,2,NA,NA,NA
"MOUNTAIN",2022,2,NA,NA,NA
"CALIFORNIA",2022,2,NA,NA,NA
"KANSAS",2022,2,NA,NA,NA
"CONNECTICUT",2022,2,NA,NA,NA
"LOUISIANA",2022,2,NA,NA,NA
"PENNSYLVANIA",2022,2,NA,NA,NA
"PUERTO RICO",2022,2,NA,NA,NA
"EAST SOUTH CENTRAL",2022,2,NA,NA,NA
"SOUTH ATLANTIC",2022,2,2,NA,NA
"DISTRICT OF COLUMBIA",2022,2,NA,NA,NA
"NEW HAMPSHIRE",2022,2,NA,NA,NA
"FLORIDA",2022,2,2,NA,NA
"WASHINGTON",2022,2,NA,NA,NA
"INDIANA",2022,2,NA,NA,NA
"US TERRITORIES",2022,2,NA,NA,NA
"IDAHO",2022,2,NA,NA,NA
"US RESIDENTS",2022,2,2,NA,NA
"OREGON",2022,2,NA,NA,NA
"GEORGIA",2022,2,NA,NA,NA
"NEW MEXICO",2022,2,NA,NA,NA
"MISSISSIPPI",2022,2,NA,NA,NA
"ARIZONA",2022,2,NA,NA,NA
"MASSACHUSETTS",2022,2,NA,NA,NA
"WEST VIRGINIA",2022,2,NA,NA,NA
"PACIFIC",2022,2,NA,NA,NA
"NORTH DAKOTA",2022,2,NA,NA,NA
"COLORADO",2022,2,NA,NA,NA
"KENTUCKY",2022,2,NA,NA,NA
"VIRGINIA",2022,2,NA,NA,NA
"WEST NORTH CENTRAL",2022,2,NA,NA,NA
"AMERICAN SAMOA",2022,2,NA,NA,NA
"WEST SOUTH CENTRAL",2022,2,NA,NA,NA
"U.S. VIRGIN ISLANDS",2022,2,NA,NA,NA
"SOUTH CAROLINA",2022,2,NA,NA,NA
"DELAWARE",2022,2,NA,NA,NA
"NORTH CAROLINA",2022,2,NA,NA,NA
"MAINE",2022,2,NA,NA,NA
"MICHIGAN",2022,2,NA,NA,NA
"MIDDLE ATLANTIC",2022,2,NA,NA,NA
"ARKANSAS",2022,2,NA,NA,NA
"ILLINOIS",2022,2,NA,NA,NA
