"year","week","cases"
2018,0,54
2018,1,45
2018,2,48
2018,3,50
2018,4,50
2018,5,28
2018,6,30
2018,7,37
2018,8,51
2018,9,37
2018,10,39
2018,11,36
2018,12,24
2018,13,38
2018,14,38
2018,15,56
2018,16,56
2018,17,77
2018,18,62
2018,19,64
2018,20,65
2018,21,54
2018,22,75
2018,23,55
2018,24,61
2018,25,76
2018,26,58
2018,27,44
2018,28,41
2018,29,56
2018,30,51
2018,31,59
2018,32,68
2018,33,68
2018,34,75
2018,35,76
2018,36,49
2018,37,63
2018,38,40
2018,39,51
2018,40,51
2018,41,62
2018,42,78
2018,43,75
2018,44,71
2018,45,97
2018,46,97
2018,47,109
2018,48,115
2018,49,108
2018,50,128
2018,51,160
2018,52,NA
2019,0,207
2019,1,245
2019,2,215
2019,3,222
2019,4,182
2019,5,138
2019,6,235
2019,7,182
2019,8,157
2019,9,134
2019,10,109
2019,11,97
2019,12,100
2019,13,108
2019,14,125
2019,15,135
2019,16,157
2019,17,194
2019,18,287
2019,19,309
2019,20,378
2019,21,401
2019,22,399
2019,23,467
2019,24,433
2019,25,497
2019,26,593
2019,27,663
2019,28,646
2019,29,605
2019,30,598
2019,31,523
2019,32,524
2019,33,474
2019,34,414
2019,35,326
2019,36,317
2019,37,301
2019,38,261
2019,39,246
2019,40,227
2019,41,239
2019,42,242
2019,43,308
2019,44,322
2019,45,372
2019,46,331
2019,47,295
2019,48,281
2019,49,257
2019,50,214
2019,51,287
2019,52,NA
2020,0,303
2020,1,343
2020,2,404
2020,3,309
2020,4,370
2020,5,400
2020,6,380
2020,7,381
2020,8,374
2020,9,375
2020,10,389
2020,11,368
2020,12,377
2020,13,315
2020,14,343
2020,15,360
2020,16,399
2020,17,390
2020,18,507
2020,19,526
2020,20,619
2020,21,732
2020,22,867
2020,23,1153
2020,24,1371
2020,25,1460
2020,26,1448
2020,27,1665
2020,28,1724
2020,29,1787
2020,30,1377
2020,31,1665
2020,32,1338
2020,33,1286
2020,34,1150
2020,35,935
2020,36,723
2020,37,670
2020,38,588
2020,39,604
2020,40,525
2020,41,588
2020,42,564
2020,43,439
2020,44,407
2020,45,355
2020,46,257
2020,47,279
2020,48,228
2020,49,227
2020,50,234
2020,51,196
2020,52,192
2021,0,195
2021,1,166
2021,2,153
2021,3,136
2021,4,141
2021,5,144
2021,6,148
2021,7,146
2021,8,140
2021,9,145
2021,10,129
2021,11,120
2021,12,113
2021,13,102
2021,14,112
2021,15,129
2021,16,84
2021,17,117
2021,18,92
2021,19,119
2021,20,130
2021,21,118
2021,22,137
2021,23,135
2021,24,127
2021,25,112
2021,26,104
2021,27,75
2021,28,80
2021,29,82
2021,30,70
2021,31,81
2021,32,56
2021,33,53
2021,34,46
2021,35,61
2021,36,74
2021,37,110
2021,38,105
2021,39,104
2021,40,85
2021,41,76
2021,42,75
2021,43,59
2021,44,42
2021,45,56
2021,46,63
2021,47,48
2021,48,65
2021,49,61
2021,50,68
2021,51,76
2021,52,NA
2022,0,105
2022,1,146
2022,2,180
2022,3,171
2022,4,154
2022,5,169
2022,6,206
2022,7,199
2022,8,263
2022,9,370
2022,10,421
2022,11,441
2022,12,510
2022,13,643
2022,14,734
2022,15,942
2022,16,1003
2022,17,850
2022,18,1318
2022,19,1280
2022,20,1569
2022,21,1464
2022,22,1466
2022,23,1258
2022,24,1188
2022,25,1168
2022,26,919
2022,27,1047
2022,28,1099
2022,29,921
2022,30,885
2022,31,682
2022,32,665
2022,33,581
2022,34,571
2022,35,547
2022,36,472
2022,37,426
2022,38,398
2022,39,376
2022,40,373
2022,41,314
2022,42,318
2022,43,294
2022,44,315
2022,45,265
2022,46,242
2022,47,327
2022,48,290
2022,49,270
2022,50,285
2023,0,281
2023,1,278
2023,2,274
2023,3,186
2023,4,223
2023,5,219
2023,6,148
2023,7,139
2023,8,112
