"year","indigenous.dengue","imported.dengue"
1987,527,0
1988,4389,0
1989,16,19
1990,0,10
1991,149,26
1992,4,19
1993,0,13
1994,222,22
1995,329,40
1996,20,35
1997,19,57
1998,309,35
1999,42,26
2000,113,26
2001,228,53
2002,5336,52
2003,86,59
2004,336,91
2005,202,104
2006,965,109
2007,2000,179
2008,488,226
2009,848,204
2010,1592,304
2011,1545,157
2012,1271,207
2013,596,264
2014,15492,240
2015,43419,365
2016,381,363
2017,10,333
2018,183,350
2019,100,540
2020,73,64
2021,0,12
2022,20,68
2023,26429,277
